"Enumeration Name","Status","Description","Import-only","Comments","ADIF Version","ADIF Status"
"QSO_Download_Status","Y","the QSO has been downloaded from the online service","","","3.1.7","Released"
"QSO_Download_Status","N","the QSO has not been downloaded from the online service","","","3.1.7","Released"
"QSO_Download_Status","I","ignore or invalid","","","3.1.7","Released"
