"Field Name","Data Type","Enumeration","Description","Header Field","Minimum Value","Maximum Value","Import-only","Comments","ADIF Version","ADIF Status"
"DCL_QSL_RCVD","Enumeration","QSL_Rcvd","DCL QSL received status Default Value: N","","","","","","3.1.7","Released"
"DCL_QSL_SENT","Enumeration","QSL_Sent","DCL QSL sent status Default Value: N","","","","","","3.1.7","Released"
"DISTANCE","Number","","the distance between the logging station and the contacted station in kilometers via the specified signal path with a value greater than or equal to 0","","0","","","","3.1.7","Released"
"DXCC","Enumeration","DXCC_Entity_Code","the contacted station's DXCC Entity Code <DXCC:1>0 means that the contacted station is known not to be within a DXCC entity.","","","","","","3.1.7","Released"
"EMAIL","String","","the contacted station's email address","","","","","","3.1.7","Released"
"EQ_CALL","String","","the contacted station's owner's callsign","","","","","","3.1.7","Released"
"EQSL_AG","Enumeration","EQSL_AG","indicates whether the QSO is known to be ""Authenticity Guaranteed"" by eQSL Default value: U","","","","","","3.1.7","Released"
"EQSL_QSLRDATE","Date","","date QSL received from eQSL.cc (only valid if EQSL_QSL_RCVD is Y, I, or V)(V import-only)","","","","","","3.1.7","Released"
"EQSL_QSLSDATE","Date","","date QSL sent to eQSL.cc (only valid if EQSL_QSL_SENT is Y, Q, or I)","","","","","","3.1.7","Released"
"EQSL_QSL_RCVD","Enumeration","QSL_Rcvd","eQSL.cc QSL received status instead of V (import-only) use <CREDIT_GRANTED:42>CQWAZ:eqsl,CQWAZ_BAND:eqsl,CQWAZ_MODE:eqsl Default Value: N","","","","","","3.1.7","Released"
"EQSL_QSL_SENT","Enumeration","QSL_Sent","eQSL.cc QSL sent status Default Value: N","","","","","","3.1.7","Released"
"FISTS","PositiveInteger","","the contacted station's FISTS CW Club member number with a value greater than 0.","","1","","","","3.1.7","Released"
"FISTS_CC","PositiveInteger","","the contacted station's FISTS CW Club Century Certificate (CC) number with a value greater than 0.","","1","","","","3.1.7","Released"
"FORCE_INIT","Boolean","","new EME ""initial""","","","","","","3.1.7","Released"
"FREQ","Number","","QSO frequency in Megahertz","","","","","","3.1.7","Released"
"FREQ_RX","Number","","in a split frequency QSO, the logging station's receiving frequency in Megahertz","","","","","","3.1.7","Released"
"GRIDSQUARE","GridSquare","","the contacted station's 2-character, 4-character, 6-character, or 8-character Maidenhead Grid Square For 10 or 12 character locators, store the first 8 characters in GRIDSQUARE and the additional 2 or 4 characters in the GRIDSQUARE_EXT field","","","","","","3.1.7","Released"
"GRIDSQUARE_EXT","GridSquareExt","","for a contacted station's 10-character Maidenhead locator, supplements the GRIDSQUARE field by containing characters 9 and 10. For a contacted station's 12-character Maidenhead locator, supplements the GRIDSQUARE field by containing characters 9, 10, 11 and 12. Characters 9 and 10 are case-insensitive ASCII letters in the range A-X. Characters 11 and 12 are Digits in the range 0 to 9. On export, the field length must be 2 or 4. On import, if the field length is greater than 4, the additional characters must be ignored. Example of exporting the 10-character locator FN01MH42BQ: <GRIDSQUARE:8>FN01MH42 <GRIDSQUARE_EXT:2>BQ","","","","","","3.1.7","Released"
"GUEST_OP","String","","import-only: use OPERATOR instead","","","","Import-only","","3.1.7","Released"
"HAMLOGEU_QSO_UPLOAD_DATE","Date","","the date the QSO was last uploaded to the HAMLOG.EU online service","","","","","","3.1.7","Released"
"HAMLOGEU_QSO_UPLOAD_STATUS","Enumeration","QSO_Upload_Status","the upload status of the QSO on the HAMLOG.EU online service","","","","","","3.1.7","Released"
"HAMQTH_QSO_UPLOAD_DATE","Date","","the date the QSO was last uploaded to the HamQTH.com online service","","","","","","3.1.7","Released"
"HAMQTH_QSO_UPLOAD_STATUS","Enumeration","QSO_Upload_Status","the upload status of the QSO on the HamQTH.com online service","","","","","","3.1.7","Released"
"HRDLOG_QSO_UPLOAD_DATE","Date","","the date the QSO was last uploaded to the HRDLog.net online service","","","","","","3.1.7","Released"
"HRDLOG_QSO_UPLOAD_STATUS","Enumeration","QSO_Upload_Status","the upload status of the QSO on the HRDLog.net online service","","","","","","3.1.7","Released"
"IOTA","IOTARefNo","","the contacted station's IOTA designator, in format CC-XXX, where CC is a member of the Continent enumeration XXX is the island group designator, where 1 <= XXX <= 999 [use leading zeroes]","","","","","","3.1.7","Released"
"IOTA_ISLAND_ID","PositiveInteger","","the contacted station's IOTA Island Identifier, an 8-digit integer in the range 1 to 99999999 [leading zeroes optional]","","1","99999999","","","3.1.7","Released"
"ITUZ","PositiveInteger","","the contacted station's ITU zone in the range 1 to 90 (inclusive)","","1","90","","","3.1.7","Released"
"K_INDEX","Integer","","the geomagnetic K index at the time of the QSO in the range 0 to 9 (inclusive)","","0","9","","","3.1.7","Released"
"LAT","Location","","the contacted station's latitude","","","","","","3.1.7","Released"
"LON","Location","","the contacted station's longitude","","","","","","3.1.7","Released"
"LOTW_QSLRDATE","Date","","date QSL received from ARRL Logbook of the World (only valid if LOTW_QSL_RCVD is Y, I, or V)(V import-only)","","","","","","3.1.7","Released"
"LOTW_QSLSDATE","Date","","date QSL sent to ARRL Logbook of the World (only valid if LOTW_QSL_SENT is Y, Q, or I)","","","","","","3.1.7","Released"
"LOTW_QSL_RCVD","Enumeration","QSL_Rcvd","ARRL Logbook of the World QSL received status instead of V (import-only) use <CREDIT_GRANTED:39>DXCC:lotw,DXCC_BAND:lotw,DXCC_MODE:lotw Default Value: N","","","","","","3.1.7","Released"
"LOTW_QSL_SENT","Enumeration","QSL_Sent","ARRL Logbook of the World QSL sent status Default Value: N","","","","","","3.1.7","Released"
"MAX_BURSTS","Number","","maximum length of meteor scatter bursts heard by the logging station, in seconds with a value greater than or equal to 0","","0","","","","3.1.7","Released"
"MODE","Enumeration","Mode","QSO Mode","","","","","","3.1.7","Released"
